"Annot_Gene"	"Annot_Christoforou_Uniprot_G.O_overlap"	"Annot_Christoforou_Uniprot_G.O_sum"	"Annot_HPA_Single_supportive"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_Uniprot_G.O_overlap"	"precision_assigned_location_Christoforou_Uniprot_G.O_overlap"	"assigned_location_Christoforou_Uniprot_G.O_sum"	"precision_assigned_location_Christoforou_Uniprot_G.O_sum"	"assigned_location_HPA_Single_supportive"	"precision_assigned_location_HPA_Single_supportive"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"EIF2S1"	""	""	""	"Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"cytoplasmic stress granule; cytosol; eukaryotic translation initiation factor 2 complex; extracellular vesicular exosome; membrane; nucleus; polysome"	" Cytoplasmic granule {ECO:0000250} Note=The cytoplasmic granules are stress granules which are a dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress Colocalizes with NANOS3 in the stress granules (By similarity) {ECO:0000250}"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"EIF2S1"	"-"	90	10	16	6	8	6	10	22	28	8	"-"	1	78	114	4	1	1	1	1	1	1	1	NA	50	4	108	20	16	1	NA	41	59	1	NA	76	23	1	NA	13	50	37	NA	34	22	32	12	NA	44	37	20	NA	1	100	NA	63	9	28	NA	72	2	11	15
"PABPC1"	"RIBOSOME"	"RIBOSOME"	""	NA	NA	NA	"catalytic step 2 spliceosome; cytoplasm; cytoplasmic ribonucleoprotein granule; cytoplasmic stress granule; cytosol; extracellular vesicular exosome; focal adhesion; membrane; nucleus; ribonucleoprotein complex"	" Cytoplasm Nucleus Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs Shuttles between the cytoplasm and the nucleus"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"PABPC1"	"-"	66	12	14	4	10	12	10	18	40	16	"-"	6	50	114	12	6	4	4	1	1	1	1	NA	28	6	110	26	24	4	NA	79	18	3	NA	73	25	1	NA	9	9	81	NA	54	19	18	9	NA	12	48	40	NA	52	48	NA	72	8	20	NA	40	3	25	32
"RPL11"	"RIBOSOME"	"RIBOSOME"	""	NA	NA	NA	"cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; membrane; nucleolus"	" Nucleus nucleolus {ECO:0000250}"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL11"	"-"	36	12	12	8	16	20	18	22	38	16	"-"	1	76	100	8	6	4	1	1	1	1	1	NA	14	48	64	30	22	22	NA	67	27	5	NA	55	28	17	NA	15	27	58	NA	20	29	15	37	NA	6	21	74	NA	37	63	NA	57	17	26	NA	60	3	15	21
"RPL13"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	"Nucleoli"	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; cytosolic ribosome; membrane; nucleolus; nucleus"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL13"	"-"	40	12	14	6	18	18	12	22	40	16	"-"	14	66	82	8	6	6	4	4	4	1	4	NA	26	16	92	36	28	6	NA	45	51	4	NA	55	26	19	NA	26	7	67	NA	1	1	1	1	NA	8	36	56	NA	45	55	NA	75	8	18	NA	59	2	21	18
"RPL13A"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Cytoplasm"	NA	"Uncertain"	"cytosol; cytosolic large ribosomal subunit; focal adhesion; GAIT complex; large ribosomal subunit; membrane; nucleus; ribonucleoprotein complex"	" Cytoplasm {ECO:0000305|PubMed:14567916}"	"overlaps 8"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL13A"	"-"	30	14	14	8	18	22	16	24	42	14	"-"	20	56	94	8	1	4	4	4	4	1	1	NA	10	12	72	48	48	8	NA	43	54	3	NA	63	24	13	NA	11	17	72	NA	1	1	1	1	NA	1	1	1	NA	36	64	NA	81	1	18	NA	59	1	6	34
"RPL14"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; membrane"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL14"	"-"	40	14	14	8	16	20	10	20	40	16	"-"	10	64	90	12	6	6	1	4	1	1	4	NA	30	28	64	28	36	12	NA	57	40	3	NA	62	23	15	NA	14	36	50	NA	55	25	10	9	NA	10	17	73	NA	35	65	NA	82	2	17	NA	48	2	30	20
"RPL17"	"RIBOSOME"	"RIBOSOME"	""	NA	NA	NA	"cytosol; cytosolic large ribosomal subunit; nucleus"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL17"	"-"	42	12	14	6	14	22	14	20	42	18	"-"	1	84	80	6	10	6	1	4	1	1	1	NA	30	10	94	28	34	6	NA	50	48	2	NA	61	24	15	NA	5	13	82	NA	1	1	1	1	NA	3	29	67	NA	28	72	NA	62	12	26	NA	54	2	20	24
"RPL18"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; focal adhesion; membrane; nucleolus; nucleus"	" Cytoplasm"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL18"	"-"	26	12	14	8	16	24	20	24	42	16	"-"	12	68	90	8	6	6	1	1	1	1	1	NA	30	46	72	28	14	10	NA	47	50	3	NA	56	23	21	NA	19	24	57	NA	38	32	17	12	NA	6	43	51	NA	31	69	NA	59	1	39	NA	73	1	6	19
"RPL18A"	"RIBOSOME"	"RIBOSOME"	""	"Nucleus;Nucleoli"	"Cytoplasm"	"Uncertain"	"cytosol; cytosolic large ribosomal subunit; membrane"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL18A"	"-"	40	10	12	6	18	22	16	24	38	12	"-"	1	78	84	12	6	6	1	4	1	4	4	NA	14	20	66	38	50	12	NA	42	53	5	NA	60	25	15	NA	14	3	83	NA	27	36	22	15	NA	7	54	39	NA	40	60	NA	68	6	27	NA	70	1	14	15
"RPL19"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; focal adhesion; membrane; nucleolus"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL19"	"-"	24	12	14	8	18	24	14	26	50	12	"-"	42	52	46	12	10	10	4	6	6	6	6	NA	16	16	92	40	26	10	NA	38	56	5	NA	63	24	12	NA	14	18	68	NA	1	51	1	49	NA	3	28	69	NA	29	71	NA	79	3	18	NA	65	1	21	13
"RPL23"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleolus; ribosome"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL23"	"-"	36	10	12	4	10	20	22	26	40	18	"-"	8	54	106	12	8	4	1	1	1	1	1	NA	24	28	96	28	12	12	NA	49	46	4	NA	65	17	17	NA	3	11	85	NA	75	14	11	1	NA	5	70	26	NA	57	43	NA	67	16	17	NA	59	3	20	18
"RPL24"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; membrane"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL24"	"-"	34	12	14	6	14	26	18	20	38	14	"-"	1	78	88	8	6	6	1	4	1	1	1	NA	22	22	54	32	60	10	NA	55	44	1	NA	1	1	1	NA	13	5	82	NA	22	20	26	32	NA	4	23	73	NA	36	64	NA	69	6	25	NA	75	4	2	19
"RPL28"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cell body; cytoplasm; cytoplasmic ribonucleoprotein granule; cytosol; cytosolic large ribosomal subunit; dendrite; extracellular vesicular exosome; membrane"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL28"	"-"	38	12	12	6	18	22	16	22	38	14	"-"	1	76	88	8	6	6	1	4	1	4	4	NA	24	6	72	48	50	1	NA	41	50	9	NA	62	31	7	NA	18	5	76	NA	1	71	29	1	NA	5	41	55	NA	40	60	NA	66	4	30	NA	72	1	2	25
"RPL29"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Endoplasmic reticulum"	"Cytoplasm"	"Supportive"	"cytosol; cytosolic large ribosomal subunit; membrane"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL29"	"-"	30	16	16	8	14	24	14	20	42	16	"-"	4	78	76	12	6	6	4	4	1	4	4	NA	6	6	50	56	76	6	NA	53	41	6	NA	49	41	10	NA	35	33	32	NA	1	1	1	1	NA	4	37	58	NA	19	81	NA	76	3	20	NA	86	2	1	12
"RPL32"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	NA	"Uncertain"	"cytosol; cytosolic large ribosomal subunit; membrane"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL32"	"-"	28	22	20	8	14	26	16	16	34	14	"-"	1	70	110	6	4	4	1	1	1	1	1	NA	38	24	70	40	22	6	NA	49	47	4	NA	52	30	18	NA	2	8	90	NA	1	100	1	1	NA	8	58	34	NA	30	70	NA	61	6	33	NA	47	1	33	20
"RPL35"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; membrane; nucleolus"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL35"	"-"	34	8	8	6	14	22	20	24	48	16	"-"	4	56	92	16	6	8	4	4	1	4	4	NA	10	12	70	48	50	8	NA	58	36	6	NA	56	26	19	NA	30	52	18	NA	1	35	19	46	NA	1	24	76	NA	20	80	NA	65	3	32	NA	60	1	1	39
"RPL4"	"RIBOSOME"	"RIBOSOME"	""	"Nucleus;Cytoplasm"	"Nucleoli"	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleolus; nucleus; ribonucleoprotein complex"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL4"	"-"	34	12	10	6	14	24	16	22	42	18	"-"	1	86	74	10	6	6	4	6	4	1	1	NA	20	16	74	48	42	4	NA	43	55	2	NA	56	22	22	NA	22	8	70	NA	43	16	25	16	NA	8	56	36	NA	44	56	NA	62	2	35	NA	50	4	28	18
"RPL6"	"RIBOSOME"	"RIBOSOME"	""	"Cytoskeleton (Microtubules);Cytoskeleton (Cytokinetic bridge)"	NA	"Uncertain"	"cytoplasmic ribonucleoprotein granule; cytosol; cytosolic large ribosomal subunit; focal adhesion; membrane; nucleus"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL6"	"-"	38	12	12	6	14	22	14	22	40	18	"-"	1	72	98	6	4	6	1	1	1	1	1	NA	14	16	84	34	40	12	NA	49	46	6	NA	1	1	1	NA	17	47	36	NA	42	24	25	8	NA	5	80	16	NA	34	66	NA	66	1	33	NA	54	2	19	25
"RPL7"	"RIBOSOME"	"RIBOSOME"	""	"Endoplasmic reticulum"	"Nucleoli"	"Supportive"	"cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleus; ribonucleoprotein complex"	NA	"overlaps 8"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL7"	"-"	30	10	10	8	14	26	18	24	44	14	"-"	1	78	88	8	6	4	4	4	4	1	4	NA	18	22	64	34	48	12	NA	52	43	5	NA	1	1	1	NA	23	23	53	NA	1	1	1	1	NA	6	48	46	NA	37	63	NA	77	2	21	NA	69	1	15	15
"RPL8"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Cytoplasm"	NA	"Supportive"	"cytosol; cytosolic large ribosomal subunit; focal adhesion; membrane"	" Cytoplasm"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPL8"	"-"	34	14	14	6	14	26	18	18	40	16	"-"	1	72	86	8	8	6	4	4	4	4	4	NA	40	32	70	30	22	4	NA	43	51	6	NA	59	31	10	NA	20	21	59	NA	1	27	22	52	NA	8	57	35	NA	42	58	NA	75	11	13	NA	69	2	8	22
"RPS11"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	"Nucleoli"	"Uncertain"	"cytosol; cytosolic small ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; ribosome"	NA	"overlaps 9"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS11"	"-"	60	10	12	4	8	18	12	18	38	20	"-"	14	58	96	12	4	8	1	1	1	1	1	NA	36	26	98	20	14	6	NA	52	45	4	NA	1	1	1	NA	7	2	91	NA	33	20	10	37	NA	9	44	47	NA	44	56	NA	71	5	24	NA	52	2	23	23
"RPS23"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic small ribosomal subunit; membrane; nucleolus; ribosome"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS23"	"-"	58	14	14	6	10	16	14	16	36	16	"-"	16	64	96	8	6	4	1	1	1	1	1	NA	26	10	72	32	60	1	NA	49	43	8	NA	67	28	5	NA	5	7	88	NA	95	1	1	5	NA	11	62	27	NA	54	46	NA	65	2	33	NA	62	2	6	30
"RPS24"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	"Nucleus"	"Supportive"	"cytoplasm; cytosol; cytosolic small ribosomal subunit; membrane; nucleolus; nucleus; small ribosomal subunit"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS24"	"-"	70	18	16	6	10	10	8	12	34	16	"-"	10	56	118	8	4	1	1	1	1	1	1	NA	16	6	96	38	40	6	NA	49	50	1	NA	72	23	5	NA	12	12	77	NA	1	48	20	32	NA	1	13	86	NA	28	72	NA	75	1	24	NA	53	1	19	26
"RPS3"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic small ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleus; ribonucleoprotein complex; ruffle membrane"	" Cytoplasm {ECO:0000269|PubMed:16314389 ECO:0000269|PubMed:17289661 ECO:0000269|PubMed:17560175 ECO:0000269|PubMed:18045535 ECO:0000269|PubMed:20217897 ECO:0000269|PubMed:21871177} Nucleus {ECO:0000269|PubMed:17560175 ECO:0000269|PubMed:18045535 ECO:0000269|PubMed:19460357 ECO:0000269|PubMed:20217897 ECO:0000269|PubMed:21871177} Nucleus nucleolus {ECO:0000269|PubMed:16314389 ECO:0000269|PubMed:19460357} Mitochondrion inner membrane {ECO:0000269|PubMed:23911537}; Peripheral membrane protein {ECO:0000269|PubMed:23911537} Cytoplasm cytoskeleton spindle {ECO:0000269|PubMed:23131551} Note=In normal cells located mainly in the cytoplasm with small amounts in the nucleus but translocates to the nucleus in cells undergoing apoptosis (By similarity) Nuclear translocation is induced by DNA damaging agents such as hydrogen peroxide (PubMed:17560175) Accumulates in the mitochondrion in response to increased ROS levels (PubMed:23911537) Localizes to the spindle during mitosis (PubMed:23131551) Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:17289661) {ECO:0000250|UniProtKB:P62908 ECO:0000269|PubMed:17289661 ECO:0000269|PubMed:17560175 ECO:0000269|PubMed:23131551 ECO:0000269|PubMed:23911537}"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS3"	"-"	66	14	16	6	12	14	12	16	32	14	"-"	24	70	90	4	1	1	1	1	1	1	1	NA	30	12	76	30	48	4	NA	52	44	3	NA	66	33	1	NA	23	34	43	NA	19	22	43	15	NA	15	62	23	NA	1	100	NA	71	9	20	NA	51	3	14	31
"RPS3A"	"RIBOSOME"	"RIBOSOME"	""	"Nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic small ribosomal subunit; extracellular vesicular exosome; focal adhesion; nucleolus; nucleus; ribonucleoprotein complex"	" Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03122 ECO:0000269|PubMed:17289661} Nucleus {ECO:0000255|HAMAP-Rule:MF_03122} Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS3A"	"-"	68	12	14	6	10	14	8	16	36	14	"-"	16	68	88	8	6	4	1	1	1	1	1	NA	24	8	112	30	24	4	NA	47	50	3	NA	71	24	5	NA	12	25	63	NA	50	23	12	15	NA	11	36	53	NA	49	51	NA	54	15	31	NA	50	4	15	32
"RPS6"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cell body; cytoplasm; cytoplasmic ribonucleoprotein granule; cytosol; cytosolic small ribosomal subunit; dendrite; membrane; nucleolus; nucleus; perinuclear region of cytoplasm; polysome; ribonucleoprotein complex; small ribosomal subunit"	NA	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS6"	"-"	64	14	16	6	10	14	12	14	34	16	"-"	16	68	94	6	6	4	1	1	1	1	1	NA	40	40	78	20	14	8	NA	45	54	1	NA	59	34	7	NA	12	6	81	NA	72	9	10	9	NA	24	39	37	NA	41	59	NA	75	6	19	NA	60	2	7	32
"RPS7"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	"Nucleus"	"Supportive"	"90S preribosome; cytoplasm; cytoskeleton; cytosol; cytosolic small ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleolus; nucleus; ribonucleoprotein complex; ribosome; small-subunit processome"	" Cytoplasm cytoskeleton microtubule organizing center centrosome {ECO:0000269|PubMed:20873783} Note=Colocalizes with NEK6 in the centrosome"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS7"	"-"	58	8	12	6	10	14	12	20	46	12	"-"	12	70	84	10	6	6	4	4	1	1	1	NA	30	14	94	22	34	8	NA	50	45	5	NA	75	21	3	NA	6	28	66	NA	39	26	18	17	NA	6	54	40	NA	55	45	NA	64	14	22	NA	61	3	2	34
"RPS9"	"RIBOSOME"	"RIBOSOME"	""	NA	NA	NA	"cytoplasm; cytosol; cytosolic small ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleolus; nucleus; ribonucleoprotein complex; ribosome"	" Cytoplasm {ECO:0000269|PubMed:17289661} Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs"	"overlaps 10"	399	"RIBOSOME"	1	"RIBOSOME"	1	"CYTOSOL"	1	"RPS9"	"-"	62	10	12	6	12	14	12	16	40	16	"-"	18	82	72	8	6	6	1	1	1	1	1	NA	34	20	96	18	22	8	NA	50	48	2	NA	65	30	5	NA	14	6	80	NA	45	16	11	28	NA	13	44	44	NA	35	65	NA	67	6	27	NA	66	2	7	26
"DRG1"	"RIBOSOME"	"RIBOSOME"	""	NA	NA	NA	"cytoplasm; membrane; polysome"	" Cytoplasm "	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"DRG1"	"-"	40	14	10	6	10	20	22	30	34	14	"-"	1	134	64	1	1	1	1	1	1	1	1	NA	26	18	66	36	46	10	NA	51	42	6	NA	76	22	1	NA	1	79	21	NA	1	37	43	20	NA	2	63	35	NA	69	31	NA	72	3	25	NA	78	1	1	22
"EIF2S2"	""	"CYTOSOL"	""	"Endoplasmic reticulum"	"Nucleoli"	"Supportive"	"cytosol; eukaryotic translation initiation factor 2 complex"	NA	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"EIF2S2"	"-"	88	8	12	4	6	8	10	26	30	10	"-"	1	66	120	10	1	1	1	1	1	1	1	NA	26	40	60	24	34	14	NA	39	59	2	NA	72	26	1	NA	21	51	28	NA	52	23	13	12	NA	18	36	46	NA	69	31	NA	59	12	29	NA	74	3	1	21
"EIF5B"	"CYTOSOL"	"CYTOSOL"	""	"Cytoplasm"	"Plasma membrane"	"Uncertain"	"cytosol"	" Cytoplasm "	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"EIF5B"	"-"	44	12	12	6	8	10	16	44	36	10	"-"	1	94	106	1	1	1	1	1	1	1	1	NA	32	22	90	46	1	8	NA	52	47	1	NA	87	11	1	NA	1	79	20	NA	49	37	1	13	NA	2	61	37	NA	73	27	NA	65	3	32	NA	83	3	1	13
"G3BP1"	""	""	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytoplasmic stress granule; focal adhesion; nucleus; plasma membrane"	" Cytoplasm Cytoplasm cytosol Cytoplasmic granule Cell membrane Nucleus Note=Cytoplasmic in proliferating cells can be recruited to the plasma membrane in exponentially growing cells (By similarity) Cytosolic and partially nuclear in resting cells Recruited to stress granules (SGs) upon either arsenite or high temperature treatment Recruitment to SGs is influenced by HRAS {ECO:0000250}"	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"G3BP1"	"-"	56	10	12	4	10	12	12	22	48	14	"-"	16	84	98	1	1	1	1	1	1	1	1	NA	16	1	94	44	44	1	NA	60	37	4	NA	68	31	1	NA	1	57	43	NA	26	29	23	23	NA	3	71	26	NA	100	1	NA	78	9	14	NA	40	7	10	44
"PA2G4"	"RIBOSOME"	"RIBOSOME"	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; membrane; nucleolus; nucleus; ribonucleoprotein complex"	" Cytoplasm Nucleus nucleolus Note=Tranlocates to the nucleus upon treatment with HRG"	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"PA2G4"	"-"	44	12	12	6	14	18	14	20	44	16	"-"	4	134	60	1	1	1	1	1	1	1	1	NA	44	8	68	38	38	4	NA	55	42	3	NA	78	17	5	NA	41	46	13	NA	41	20	29	10	NA	4	52	43	NA	63	37	NA	72	3	25	NA	72	6	7	15
"RPL10A"	"RIBOSOME"	"RIBOSOME"	""	"Cytoplasm"	"Nucleoli"	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; mitochondrion; nucleolus; nucleus"	NA	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"RPL10A"	"-"	26	14	16	8	16	28	20	16	38	18	"-"	4	72	84	6	6	6	4	6	6	4	4	NA	28	12	94	36	28	4	NA	47	50	3	NA	50	31	19	NA	15	49	36	NA	37	38	15	10	NA	7	32	61	NA	51	49	NA	64	17	19	NA	60	2	13	24
"RPL12"	"RIBOSOME"	"RIBOSOME"	""	"Golgi apparatus"	NA	"Uncertain"	"cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane"	NA	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"RPL12"	"-"	38	10	10	8	16	20	14	26	44	18	"-"	1	70	92	12	8	6	1	4	1	4	4	NA	22	18	108	30	14	10	NA	55	40	5	NA	61	24	14	NA	16	42	42	NA	28	44	19	10	NA	7	28	66	NA	47	53	NA	54	24	22	NA	48	6	27	19
"RPL30"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion; membrane; nucleus"	NA	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"RPL30"	"-"	40	12	16	8	18	22	12	20	38	14	"-"	1	62	114	12	4	4	1	1	1	1	1	NA	28	30	52	40	44	8	NA	60	37	3	NA	66	29	5	NA	30	44	26	NA	34	37	16	13	NA	17	53	31	NA	57	43	NA	73	14	14	NA	56	4	18	23
"RPLP1"	"RIBOSOME"	"RIBOSOME"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; focal adhesion"	NA	"overlaps 10"	279	"RIBOSOME"	0.933333333333333	"RIBOSOME"	0.875	"CYTOSOL"	0.875	"RPLP1"	"-"	34	14	12	8	10	30	24	14	40	14	"-"	1	60	136	4	1	1	1	1	1	1	1	NA	66	72	34	14	8	6	NA	73	26	1	NA	71	28	1	NA	36	39	24	NA	42	33	16	8	NA	5	17	78	NA	51	49	NA	95	1	5	NA	31	34	1	35
